# inspected ranges:
# gzd_auto: merging_merger_fraction > 0.7
# gzd_5: merging_merger_debiased > 0.7
# darg
#
iauname,notes
J095746.53+025119.7,
J095847.90+144526.2,
J095902.99+283429.9,
J095935.73+040558.5,
J095939.60+010558.3,
J100110.71+173211.0,
J100612.09-013312.0,
J100459.21+043512.3,
J100639.57+055844.6,
J100747.49+003403.5,
J101553.01+023718.8,
J101653.66+135738.5,
J101653.82+002857.0,
J101705.89+084043.7,
J101822.44+134454.7,
J101839.69+142551.0,
J102032.01-023306.8,
J102034.89-022613.1,
J102451.88+093411.0,
J102543.53+075603.8,
J102547.59-014427.0,
J102615.68+241000.9,
J102618.01+041916.6,
J102653.21+142918.4,
J102626.79+103918.7,
J102818.59-012208.9,
J102947.25+254556.3,
J102901.24+201006.1,
J103009.52+164108.5,
J103012.31-005036.9,
J103305.56+005946.1,
J103742.56+070515.0,
J103942.69+311013.7,
J104030.26+083930.8,
J104148.77-003454.6,
J104404.46+081755.4,not found
J104754.76+073841.4,
J105304.89+000832.9,
J105444.18+232138.2,
J105711.98+073145.1,
J105817.30-014435.0,
J110120.63+071538.5,
J110123.60-031613.0,
J110123.79-031627.9,
J110203.69+101958.9,
J110305.40+141535.8,
J110401.58+245822.2,
J111006.32+194051.4,
J111124.10+010305.2,
J111511.60+041612.0,
J111512.75+003527.4,
J111620.13+081327.5,
J111653.38+235048.0,
J111828.43-003302.7,
J111952.65-012111.5,
J112353.97+250141.6,
J112626.26-022010.2,
J112651.69+170301.9,
J112944.30+025938.6,
J113145.49+160337.1,
J113226.22+320659.9,
J113303.59+251647.9,
J113445.57+275735.0,
J113632.23+012243.8,
J113747.15+003950.9,
J113935.60+231530.1,
J114111.05+054447.9,
J114114.89+104116.0,
J114330.47-033557.6,
J114738.91-024926.4,
J115231.79+064120.9,
J115653.88+030459.8,
J120605.87+002749.9,
J120738.28+151033.4,
J120755.02-010002.6,
J121817.40+131527.0,
J121844.41-025937.7,
J122131.68-005109.7,
J122132.20-023645.0,
J122144.50+074842.2,
J122212.01+272601.6,
J122618.81+122010.5,
J122736.66+211902.7,
J122744.69-015143.0,
J123257.85+064915.1,
J123022.66+091858.2,
J123535.20+110831.8,
J123541.09-010058.6,
J123634.69+111414.9,big
J123709.54+072831.5,
J123718.90+080416.0,
J123811.59-015926.0,
J123908.92+085603.0,
J123909.73+085557.8,
J124010.50+004159.3,
J124251.13+141721.8,
J124446.77+020821.3,
J124623.21+122309.7,
J124912.04+280603.4,
J125450.90+023912.0,big
J125240.14+212500.1,
J125501.32-023929.1,
J125706.42+073719.1,
J125825.21+094704.4,
J130016.51+094546.0,
J130143.71+031606.5,
J130303.52-032241.1,
J130701.08+055125.7,
J130821.24-011307.7,
J130909.86-003650.5,
J131312.98+035246.0,
J131352.56+051132.7,
J131700.81+004505.7,
J131930.45+010222.5,
J131948.44-012604.4,
J132125.59+204835.1,
J132401.46+013101.6,
J132706.74+114629.8,
J132728.81+094608.0,
J132920.23+041158.8,
J133226.69-014316.7,
J133443.59+020215.9,
J133507.63-012155.2,
J133822.58+021646.3,
J134513.66+191056.2,
J134718.96-005354.9,
J134751.88+194811.0,
J134821.76+254031.0,
J135046.09+100436.3,
J135112.11+262225.2,not found
J135155.93+100451.0,
J135432.96+281436.1,
J135440.55+204301.1,
J135608.70-040219.9,
J135827.91+254200.3,
J135824.71+154830.8,
J135909.72-030320.2,
J140037.21-025427.2,
J140122.72+232452.4,
J140204.18+092044.6,
J140232.87+101013.6,
J140458.93-032752.8,
J140707.09-023446.9,
J140725.22+080352.5,
J141355.15+295805.7,
J141810.40+212141.2,
J142252.45+060403.9,
J143154.90+333816.0,
J143203.14+195850.7,
J143208.41+240130.5,not found
J143508.76+052132.6,big
J143600.55+162353.3,
J143648.03+112157.6,
J143754.04+155149.1,
J144156.56+111646.4,
J144220.03+181854.9,
J144418.89+000230.8,
J144430.03+131026.2,
J144450.29-030217.9,
J144818.42+033210.6,
J145012.04+134612.6,
J145013.47+141941.1,
J145034.90+034442.8,
J145107.44+065414.3,
J145245.98+165649.7,
J145309.67+214843.0,
J145347.18+201627.4,
J145544.35+143612.1,
J145818.32+181852.8,disturbed
J145826.49+081230.9,
J145903.38+113204.8,
J150100.54+052213.0,
J150340.16+085454.0,
J150600.32+064304.4,
J150715.55+150702.2,
J150722.19+010244.2,
J150742.40+143742.0,
J150905.11+002338.5,
J150922.16+073652.2,
J150958.89+021606.4,
J151011.73-015550.3,
J151110.42+023917.6,
J151116.10+251546.1,
J151323.68+025624.7,
J151154.90+075424.3,
J151229.61+130229.1,
J151522.38-013041.5,
J151523.49-013032.2,
J151535.99-015149.1,
J151719.25+290042.1,
J151731.49-021520.7,
J151950.69-010709.4,
J152142.10+185838.9,
J152312.20+083258.9,
J152927.01+213837.2,
J153338.60+002212.9,
J153435.13-002837.4,
J153250.84+322612.0,
J153458.27+005051.6,
J153536.86+114529.7,
J153547.93+093227.9,
J153712.00+254649.5,
J153747.37+170254.8,
J153755.15+275454.1,
J153940.78+004648.8,
J154237.75+065127.9,
J154240.79+275801.7,
J154621.26+260324.6,
J154659.69+143736.0,
J154740.88+233927.5,
J154954.44+085140.6,
J155207.62+054830.7,
J155226.03+161532.2,
J155238.65+045513.7,
J155816.05-004955.5,
J155845.75+244450.6,
J155904.79+051213.6,
J160057.27+063929.0,
J160334.12+252806.6,
J160419.76+231512.7,
J160519.85+235454.9,
J160746.41+305221.4,
J160947.04+122240.1,
J161002.50+055501.3,
J161126.57+101541.7,
J161126.57+101541.7,
J161234.66+073233.9,
J161244.96+182831.4,
J161244.06+114952.6,
J162036.30+100633.8,
J162301.50+243006.5,
J162402.64+080157.9,
J162711.74+260609.0,
J162919.41+133738.4,
J163251.86+125500.2,
J163503.70+163702.1,
J163604.71+265008.3,
J163745.58+163543.6,
J164004.20+263609.0,
J164214.41+274135.5,
J164705.68+163639.0,
J164837.55+283352.0,
J164913.28+292747.6,disturbed
J165831.62+270015.2,
J172315.75+303013.6,
J210426.11+011253.2,
J211257.47+012659.2,
J211935.51+094035.8,
J212008.25+003205.5,
J212600.97+010401.4,
J213222.62-020756.0,
J214809.22-074116.3,
J215304.28-010056.8,
J215732.70-001224.3,
J215826.66+200704.4,
J220339.68+102047.3,
J221224.97+155115.5,
J223354.26+162346.9,
J225555.57-004124.0,
J232224.39+010520.9,
J232224.47+010512.5,
J235147.90+023059.9,
J235357.40-101512.9,
J234226.70+003757.0,
J235651.78-004730.3,
J015358.76-000536.7,
J082334.21+212051.5,big
J100550.66+003754.4,

# darg_1
J120829.22-004116.9,
J123822.26-004953.5,
J130003.79-002215.4,
J154439.92-002507.6,
J162329.52-002152.6,
J163203.11-001542.6,
J111951.89+000418.6,
J142227.62+000332.6,
J120605.88+002749.9,
J123108.37+003649.3,
J135156.38+003304.0,
J002913.12+142340.4,
J004905.04+153305.5,
J005127.67+160443.1,
J041123.05-055445.2,
J030758.15-070356.7,
J035819.84-053219.9,
J022532.65-072525.5,
J115525.21-032702.1,
J130045.80-032901.5,
J122005.54-025613.5,
J122132.35-023641.7,
J114818.19-013823.8,
J131020.70-011916.8,
J131853.34-011242.4,
J132342.58-032811.8,
J112829.78-022440.4,
J124232.55-021905.7,
J114804.90-015222.4,
J123811.76-015922.0,
J124512.22-015744.3,
J113610.72-012503.3,
J131531.37-013129.9,
J083910.78+501201.6,
J085152.63+522833.0,
J082042.71+471918.3,
J081747.40+472344.0,
J082531.30+493834.7,
J100614.18+612741.3,
J165413.16+614426.0,
J171929.92+552558.8,
J165533.36+631431.9,
J172108.99+582200.7,
J115506.90+663350.9,
J124746.08+663756.3,
J140233.35+642626.5,
J073253.65+362543.3,
J140833.92+655829.5,
J171248.79+635616.9,
J174145.43+552601.6,
J172958.29+554603.9,
J171342.98+640455.1,
J172803.46+580925.7,
J080656.52+483108.6,
J151651.46+591330.0,
J153413.34+571707.1,
J120641.65+672555.0,
J130755.07+670022.0,
J161025.98+521542.5,
J122806.45+013426.8,
J144127.58+012921.9,
J151051.35+014152.9,
J142927.06+022327.9,
J150107.77+021758.5,
J121709.95+033545.2,
J113632.74+012247.3,
J122245.47+011628.0,
J132407.80+011436.3,
J085920.83+005142.2,
J095306.82+011459.1,
J100126.54+012141.9,
J093338.91+013747.6,
J120349.20+020557.0,
J141642.29+015557.9,
J141717.87+015512.0,
J135121.12+022035.5,
J135901.54+022521.9,
J144320.32+020523.6,
J115653.89+030459.9,
J130051.36+025528.5,
J141425.69+024543.9,
J095636.67+025243.3,
J104646.73+030942.9,
J145333.72+030630.3,
J154648.51+024851.1,
J210000.45-071849.3,
J214036.67-083948.8,
J214237.98-081606.9,
J213718.84-074124.3,
J223755.70-084156.9,
J215315.67-071723.6,
J224145.97-075802.8,
J000715.94-110414.7,
J013259.95-103552.7,
J020920.84-100759.1,
J022640.87-094242.8,
J233648.23-103242.3,
J001654.99-102344.0,
J002316.49-101850.2,
J005421.33-101721.3,
J010143.57-100708.5,
J024903.61-081225.1,
J033416.50-070349.7,
J015242.21-091154.0,
J013258.54-085337.8,
J013440.94-083402.3,
J031018.04-062605.0,
J034905.53-051318.6,
J210455.01-072325.7,
J212603.52+102420.8,
J223854.24+131140.0,
J235502.88+142552.0,
J232425.45+144730.2,
J220640.66+131605.2,
J220630.89+132435.9,
J225752.74+144450.9,
J001850.59-103026.9,
J005509.33-101922.5,
J005609.09-093655.4,
J013813.21-092900.3,
J021918.53-075334.8,
J080552.14+400928.1,
J232740.06-101642.9,
J095638.73+010534.5,
J100103.50+010707.2,
J102743.62+011138.4,
J102912.83+012048.8,
J104255.18+011559.7,
J110854.74+024035.8,
J111459.94+024552.1,
J112938.14+031504.2,
J082718.07+460203.1,
J075950.59+392558.8,
J123216.56+635440.0,
J132240.76+625339.5,
J110317.08+632232.4,
J114520.00+642628.8,
J123153.80+643909.5,
J115030.78+654427.5,
J120717.64+655933.9,
J095040.80+040034.0,
J075537.95+335301.1,
J134716.41+623039.7,
J140637.61+632927.9,
J081430.66+381913.4,
J080746.76+371427.9,
J083810.61+433604.9,
J092229.44+502548.5,
J084311.01+451101.0,
J100054.68-001838.1,
J104509.09+000433.3,
J095728.85+003517.4,
J122548.64+661422.4,
J125733.69+035521.5,
J134233.60+033930.4,
J144042.84+032755.5,
J133226.12+044435.3,
J150913.45+035547.8,
J161113.54+522649.3,
J151017.70+611311.9,
J103508.64+563238.9,
J121440.58+592033.7,
J092328.69+504739.3,
J091308.50+503021.4,
J083733.34+454054.6,
J110043.90+592325.7,
J170344.44+333938.4,
J161903.57+463324.5,
J170910.66+310133.8,
J171014.44+303854.8,
J170314.07+333041.5,
J170240.36+333115.8,
J135115.23-030812.2,
J134613.60-023705.7,

# darg_2
J133932.80-015548.2,
J140531.65-012147.9,
J143143.18-021248.8,
J134503.65-015541.2,
J141512.37-010742.8,
J153311.23-021838.5,
J151834.68-013743.8,
J140748.93+060241.6,
J212547.83+095152.3,
J231558.75+140535.6,
J232416.64+144008.9,
J212911.13+114303.0,
J230217.68+143727.4,
J220408.61-093504.7,
J220607.65-092752.2,
J210041.12-001649.1,
J211644.68+001022.5,
J210603.76-005625.1,
J213739.62+002252.0,
J003122.70+002149.3,
J005257.80+002207.5,
J031605.97-002624.5,
J014324.19+005009.3,
J014648.47+004108.7,
J023558.17+011529.2,
J074924.01+292604.5,
J094656.29+492116.6,
J080139.86+312934.6,
J091645.72+454844.5,
J112036.38+532627.3,
J122146.23+545333.6,
J102609.25+521859.7,
J111947.31+544855.6,
J113139.11+551252.6,
J114148.87+552336.8,
J115134.48+553242.6,
J100642.45+511623.9,
J113949.20+554552.7,
J081022.43+350611.1,
J081005.59+350954.9,
J082056.92+383802.2,
J074623.34+310118.7,
J113218.80+555540.8,
J120855.39+563314.8,
J122950.46+563428.5,
J110925.69+560956.9,
J113632.61+565923.0,
J112931.96+570528.0,
J115708.21+574646.5,
J120928.28+574258.4,
J093029.66+475512.0,
J092225.30+471439.9,
J104136.60+540348.7,
J085849.90+390143.6,
J082854.33+343906.0,
J082949.83+344550.5,
J083815.90+365035.4,
J085949.49+402121.4,
J080038.77+300553.3,
J080948.84+315702.6,
J115749.73+530428.0,
J095357.91+435812.5,
J085704.23+373432.3,
J075937.79+265729.6,
J075916.02+270857.7,
J082416.49+302859.0,
J081200.34+292345.9,
J122341.71+490911.0,
J084826.43+351020.0,
J095936.59+434147.9,
J124932.58+491149.1,
J090611.78+384651.8,
J150042.54+423918.6,
J141914.42+464303.0,
J105753.11+062245.3,
J081753.90+032235.7,
J082324.86+040214.0,
J091918.28+054717.5,
J092410.58+061618.8,
J105237.40+080024.2,
J104937.24+575141.1,
J101153.93+570316.0,
J110116.41+065737.4,
J081307.47+034918.1,
J105142.84+071740.9,
J083308.15+045132.8,
J111907.48+085354.5,
J123022.67+091858.3,
J085003.88+063733.2,
J122419.48+102646.8,
J120157.78+541111.5,
J100944.14+495018.3,
J114555.32+551642.2,
J130727.87+545749.5,
J115910.01+555134.9,
J162820.56+324834.8,
J151944.18+450129.5,
J165539.38+264031.6,
J152956.42+440238.3,
J163511.41+321700.9,
J140712.65+522644.3,
J154721.26+420613.9,
J143649.81+505945.6,
J143042.76+551552.0,
J162614.89+332910.8,
J163034.07+323326.5,
J162001.60+373518.0,
J152209.60+482331.6,
J162906.83+373212.4,
J162831.12+393125.2,
J162439.54+410111.8,
J222721.06-004041.1,
J092006.28+063343.6,
J091428.18+074107.3,
J100941.44+072627.1,
J101110.66+084817.5,
J102756.57+091513.7,
J113221.87+085050.5,
J114328.50+094947.2,
J081041.05+060237.9,
J093111.33+095301.0,
J103746.00+114858.9,

# darg_3
J090919.90+330716.7,
J084856.54+304934.0,
J081303.69+243330.7,
J085837.37+312856.7,
J095129.66+090616.1,
J100506.66+092718.0,
J081257.96+052521.9,
J085544.70+072209.8,
J114658.52+142752.6,
J124104.27+143257.4,
J090317.40+100100.6,
J103257.52+133008.4,
J104456.20+135040.3,
J105642.05+143408.3,
J131205.55+485044.3,
J123606.71+502818.7,
J133228.38+490335.9,
J142310.99+444806.2,
J142053.28+455431.1,
J102420.93+373453.9,
J104123.80+383424.3,
J104230.07+404621.2,
J104241.37+405524.6,
J131329.34+570628.7,
J132533.39+565018.4,
J141109.47+545647.8,
J143238.20+534022.7,
J140800.29+554355.5,
J120507.10+563820.1,
J124144.50+564354.2,
J130916.38+562906.4,
J113914.62+571345.9,
J132853.94+561823.1,
J140529.50+550538.8,
J140905.32+551730.4,
J142422.01+095833.3,
J150908.27+090227.5,
J152311.50+083308.7,
J152440.97+082526.5,
J142046.39+052932.9,
J135406.83+064226.4,
J140556.01+072551.3,
J132149.44+085840.2,
J141734.78+082021.9,
J150922.16+073652.3,
J134522.83+094633.6,
J143635.13+084501.5,
J131544.19+103728.6,
J134627.77+394042.0,
J143836.10+361615.7,
J155756.14+271325.0,
J162451.27+225654.7,
J140445.26+393354.5,
J152330.48+323813.1,
J155839.56+271351.6,
J153320.93+310931.7,
J155857.06+273757.5,
J162218.60+243932.8,
J162628.71+240132.6,
J152940.58+323355.2,
J155156.06+362513.8,
J154731.29+353657.2,
J145753.75+105512.5,
J154954.45+085140.7,
J140705.05+130013.3,
J145404.47+112239.0,
J153236.24+093449.9,
J153123.89+102907.2,
J153442.17+101800.5,
J163106.56+234957.9,
J162714.97+251029.7,
J140157.47+361007.0,
J140821.09+354221.3,
J154717.66+275259.7,
J160334.12+252806.7,
J164710.66+210514.5,
J153633.90+254709.5,
J155510.20+233009.9,
J153723.48+260700.6,
J145748.59+313843.9,
J073513.40+394453.5,
J075134.00+452157.8,
J074103.15+425935.7,
J073419.92+421625.1,
J081914.07+543529.9,
J082731.92+534801.0,
J075112.78+454850.4,
J073434.10+411257.5,
J072352.99+380239.0,
J072340.37+412831.2,
J081212.84+541539.8,
J073603.06+445151.0,
J072703.25+432953.1,
J082828.44+243834.5,
J131042.12+134809.5,
J133833.68+142828.4,
J124914.13+391650.2,
J132648.41+395636.9,
J101031.83+351419.0,
J083824.01+254516.3,
J091446.32+305847.5,
J102636.34+371702.7,
J113207.25+400651.4,
J120835.62+410520.9,
J135205.11+352234.3,
J110729.81+352841.2,
J114139.05+365546.2,
J114807.33+372709.5,
J085055.69+251726.4,
J155144.15+243632.3,
J142445.87+333742.8,
J154422.61+260334.3,
J145647.81+312521.7,
J160455.61+235810.6,
J160520.27+235458.2,
J134807.97+363835.5,
J084002.08+240345.8,
J092220.90+283422.4,
J100218.00+324628.2,
J095503.80+323659.5,
J161534.14+210019.7,
J120438.25+360325.7,
J092329.80+254609.7,
J082044.85+192144.0,

# darg_4
J152844.94+245320.3,
J081955.60+185733.5,
J132945.39+332113.1,
J103306.42+320429.7,
J104955.08+325927.0,
J090600.94+252233.7,
J091934.14+264735.7,
J152924.68+255947.9,
J131803.94+304144.0,
J134500.60+294855.8,
J125258.34+313830.1,
J130833.89+330441.2,
J114135.98+321654.0,
J110754.07+320720.6,
J104029.95+295757.8,
J093132.02+253250.2,
J152605.24+241418.0,
J125818.24+290743.7,
J141541.80+263749.0,
J142400.65+261119.4,
J152142.28+215033.2,
J135449.87+281331.7,
J143235.57+261118.3,
J135017.16+291448.7,
J163313.99+125647.4,
J134117.08+261619.4,
J163736.45+130135.6,
J143555.08+240729.7,
J144653.83+222320.7,
J162748.90+132725.5,
J144525.73+231453.0,
J093518.23+260640.6,
J100358.83+221633.8,
J085806.20+174342.5,
J101714.64+233556.0,
J085630.59+180733.2,
J103414.24+260404.0,
J122325.13+263110.2,
J122632.58+262717.9,
J114044.64+222649.0,
J075857.73+095902.4,
J114214.42+221845.8,
J091842.32+162846.2,
J091216.95+163337.0,
J090033.87+550928.0,
J164410.89+422755.3,
J135153.59+642222.3,
J123928.43+632228.6,
J085511.16+503019.0,
J101909.14+032207.8,
J115307.18+035738.4,
J091716.64+034900.8,
J115740.55+051114.9,
J115758.70+050102.0,
J121755.81+055211.2,
J125328.31+055349.6,
J123108.46+620133.7,

# darg_5
J145842.42+570006.7,
J152945.85+533431.7,
J075558.11+265311.3,
J112852.40+510002.5,
J075737.79+281817.1,
J115602.60+525739.9,
J115326.73+531554.1,
J005629.21-011336.3,
J023126.61-004735.0,
J002940.44-002454.7,
J023750.73+003428.7,
J085727.08+294611.1,
J080423.87+224353.4,
J095021.38+362152.5,
J102950.11+394727.0,
J104536.57+443708.6,
J112232.10+473814.9,
J114932.95+115954.4,
J112041.77+120830.3,
J123634.26+111420.0,
J114231.69+443628.7,
J144514.16+384343.9,
J144523.26+384651.6,
J102727.51+414857.7,
J145237.56+390103.1,
J140557.43+101910.2,
J124610.10+115452.6,
J112954.41+123040.4,
J161839.56+070211.3,
J113053.46+132323.7,
J121510.00+411718.5,
J121845.40+411847.9,
J105738.59+410317.8,
J121942.14+420431.8,
J105703.65+403528.0,
J121329.49+422703.5,
J112740.08+420018.8,
J123208.31+424547.9,
J110403.42+413703.3,
J123957.93+431234.1,
J112531.81+380338.1,
J091629.40+295543.0,
J144932.47+332353.6,
J134912.19+375644.1,
J135837.98+372528.1,
J103635.14+374228.5,
J105016.03+382618.7,
J124627.12+404502.7,
J135046.00+384906.2,
J140721.71+485035.2,
J155652.63+371405.7,
J163305.25+265252.9,
J090437.69+182758.4,
J120202.16+500344.4,
J084736.84+340142.6,
J103425.08+453017.0,
J134538.39+004148.2,
J124440.38+010846.2,

# darg_6
J131017.89-004023.4,
J145544.63+005158.0,
J033637.00-064529.9,
J134049.14+654926.1,
J115712.45+022828.0,
J093127.90+015929.6,
J112127.98+032454.4,
J145522.85+033654.6,
J014137.22-091435.2,
J225608.34+130337.9,
J102750.83+023633.9,
J155425.88+034117.1,
J121247.46+591121.9,
J090440.26+495815.8,
J141615.62-012752.6,
J153222.88-010450.5,
J203848.55-001334.9,
J024112.93-005236.9,
J084021.03+385527.8,
J090001.04+451636.5,
J090140.28+372410.3,
J121039.45+363652.2,
J105842.58+314459.8,
J085434.42+134812.3,
J081735.25+470716.3,
J002944.70+001008.7,
J153039.53+335541.8,
J133717.81+433451.7,
J131248.38+432912.9,
J101214.82+351340.6,

# darg_7
J021129.41+142803.6,
J075540.89+411505.7,
J090729.05+573614.8,
J212858.26+112159.4,
J081309.71+381102.5,
J095526.91+544809.0,
J105525.20+544651.5,
J090554.50+471045.5,
J110910.40+081107.9,
J125227.71+600400.7,
J082819.38+281611.6,
J103713.84+144049.8,
J113044.71+384925.2,
J135610.36+300550.9,
J105214.96+300328.3,
J140454.55+104807.1,
J145402.13+100451.3,
J143439.03+475805.9,
J141341.92+081318.2,
J113821.14+472614.5,
J141950.33+441642.8,
J143046.02+001451.6,
